scenario,planner,num_vehicles,seed,vehicle_id,success,plan_time_ms,path_length,nodes,start_error_m,goal_error_m,collision_free
road_open,astar,20,0,14,1,0.5645000201184303,233.96178572484993,8,0.6906972319645828,0.0,1
road_open,astar,20,0,15,1,0.5567000189330429,233.16987872053156,8,0.4978942210978854,0.0,1
road_open,astar,20,0,16,1,0.5017000075895339,233.57188334679626,8,1.9999999999999998,0.0,1
road_open,astar,20,0,17,1,0.3646999830380082,237.36316396092502,8,0.010633727696828466,0.0,1
road_open,astar,20,0,18,1,0.3192000149283558,229.51655155340768,8,1.9999999999999998,0.0,1
road_open,astar,20,0,19,1,0.3181000065524131,235.7837413847823,8,1.941523480886099,0.0,1
road_open,astar,20,1,0,1,0.3239999932702631,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,20,1,1,1,0.3284999984316528,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,20,1,2,1,0.31289999606087804,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,20,1,3,1,0.31179998768493533,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,20,1,4,1,0.3129999968223274,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,astar,20,1,5,1,0.31790000502951443,236.81250709095204,8,1.9999999999999998,0.0,1
road_open,astar,20,1,6,1,0.3111999831162393,234.70894286123075,8,1.1649961719442974,0.0,1
road_open,astar,20,1,7,1,0.3139000036753714,233.55286155513286,8,0.2969804269081666,0.0,1
road_open,astar,20,1,8,1,0.31109998235479,233.7953958419444,8,1.9999999999999998,0.0,1
road_open,astar,20,1,9,1,0.31170001602731645,232.17953627844346,8,1.9999999999999998,0.0,1
road_open,astar,20,1,10,1,0.3260999801568687,230.77397783876089,8,1.9999999999999998,0.0,1
road_open,astar,20,1,11,1,0.31790000502951443,230.91880733718867,8,1.9999999999999998,0.0,1
road_open,astar,20,1,12,1,0.35009998828172684,235.0799651965789,8,0.6528053996583969,0.0,1
road_open,astar,20,1,13,1,0.31380000291392207,234.05206891112533,8,1.9999999999999998,0.0,1
road_open,astar,20,1,14,1,0.32079999800771475,233.96178572484993,8,0.6906972319645828,0.0,1
road_open,astar,20,1,15,1,0.31209998996928334,233.16987872053156,8,0.4978942210978854,0.0,1
road_open,astar,20,1,16,1,0.3108999808318913,233.57188334679626,8,1.9999999999999998,0.0,1
